Date,Location,Species,Count,Temp_C,Rainfall_7day_mm
2025-01-26,Namadgi NP ACT,Crimson Cicada,118,22.5,14.2
2025-02-01,Namadgi NP ACT,Bogong Moth,120,22.1,14.2
2025-02-01,Namadgi NP ACT,Golden Stag Beetle,18,22.1,14.2
2025-02-01,Namadgi NP ACT,Mountain Grasshopper,40,22.1,14.2
2025-02-01,Namadgi NP ACT,Blue Ant Wasp,25,22.1,14.2
2025-02-01,Namadgi NP ACT,Alpine Jewel Beetle,14,22.1,14.2
2025-02-01,Namadgi NP ACT,Crimson Cicada,60,22.1,14.2
2025-02-02,Namadgi NP ACT,Bogong Moth,140,21.8,13.8
2025-02-02,Namadgi NP ACT,Golden Stag Beetle,15,21.8,13.8
2025-02-02,Namadgi NP ACT,Mountain Grasshopper,38,21.8,13.8
2025-02-02,Namadgi NP ACT,Blue Ant Wasp,28,21.8,13.8
2025-02-02,Namadgi NP ACT,Alpine Jewel Beetle,18,21.8,13.8
2025-02-02,Namadgi NP ACT,Crimson Cicada,65,21.8,13.8
2025-02-03,Namadgi NP ACT,Bogong Moth,160,23.4,12.5
2025-02-03,Namadgi NP ACT,Golden Stag Beetle,20,23.4,12.5
2025-02-03,Namadgi NP ACT,Mountain Grasshopper,50,23.4,12.5
2025-02-03,Namadgi NP ACT,Blue Ant Wasp,22,23.4,12.5
2025-02-03,Namadgi NP ACT,Alpine Jewel Beetle,16,23.4,12.5
2025-02-03,Namadgi NP ACT,Crimson Cicada,68,23.4,12.5
2025-02-04,Namadgi NP ACT,Bogong Moth,150,24.1,11.2
2025-02-04,Namadgi NP ACT,Golden Stag Beetle,19,24.1,11.2
2025-02-04,Namadgi NP ACT,Mountain Grasshopper,42,24.1,11.2
2025-02-04,Namadgi NP ACT,Blue Ant Wasp,26,24.1,11.2
2025-02-04,Namadgi NP ACT,Alpine Jewel Beetle,17,24.1,11.2
2025-02-04,Namadgi NP ACT,Crimson Cicada,70,24.1,11.2
2025-02-05,Namadgi NP ACT,Bogong Moth,135,22.8,10.8
2025-02-05,Namadgi NP ACT,Golden Stag Beetle,21,22.8,10.8
2025-02-05,Namadgi NP ACT,Mountain Grasshopper,44,22.8,10.8
2025-02-05,Namadgi NP ACT,Blue Ant Wasp,24,22.8,10.8
2025-02-05,Namadgi NP ACT,Alpine Jewel Beetle,20,22.8,10.8
2025-02-05,Namadgi NP ACT,Crimson Cicada,75,22.8,10.8
2025-02-06,Namadgi NP ACT,Bogong Moth,125,21.5,11.5
2025-02-06,Namadgi NP ACT,Golden Stag Beetle,16,21.5,11.5
2025-02-06,Namadgi NP ACT,Mountain Grasshopper,48,21.5,11.5
2025-02-06,Namadgi NP ACT,Blue Ant Wasp,27,21.5,11.5
2025-02-06,Namadgi NP ACT,Alpine Jewel Beetle,19,21.5,11.5
2025-02-06,Namadgi NP ACT,Crimson Cicada,80,21.5,11.5
2025-02-07,Namadgi NP ACT,Bogong Moth,110,20.9,12.3
2025-02-07,Namadgi NP ACT,Golden Stag Beetle,22,20.9,12.3
2025-02-07,Namadgi NP ACT,Mountain Grasshopper,52,20.9,12.3
2025-02-07,Namadgi NP ACT,Blue Ant Wasp,30,20.9,12.3
2025-02-07,Namadgi NP ACT,Alpine Jewel Beetle,18,20.9,12.3
2025-02-07,Namadgi NP ACT,Crimson Cicada,85,20.9,12.3
2025-02-08,Namadgi NP ACT,Bogong Moth,100,19.8,15.8
2025-02-08,Namadgi NP ACT,Golden Stag Beetle,14,19.8,15.8
2025-02-08,Namadgi NP ACT,Mountain Grasshopper,39,19.8,15.8
2025-02-08,Namadgi NP ACT,Blue Ant Wasp,25,19.8,15.8
2025-02-08,Namadgi NP ACT,Alpine Jewel Beetle,12,19.8,15.8
2025-02-08,Namadgi NP ACT,Crimson Cicada,90,19.8,15.8
2025-02-09,Namadgi NP ACT,Bogong Moth,90,18.6,18.4
2025-02-09,Namadgi NP ACT,Golden Stag Beetle,18,18.6,18.4
2025-02-09,Namadgi NP ACT,Mountain Grasshopper,30,18.6,18.4
2025-02-09,Namadgi NP ACT,Blue Ant Wasp,22,18.6,18.4
2025-02-09,Namadgi NP ACT,Alpine Jewel Beetle,14,18.6,18.4
2025-02-09,Namadgi NP ACT,Crimson Cicada,95,18.6,18.4
2025-02-10,Namadgi NP ACT,Bogong Moth,130,22.3,16.2
2025-02-10,Namadgi NP ACT,Golden Stag Beetle,20,22.3,16.2
2025-02-10,Namadgi NP ACT,Mountain Grasshopper,35,22.3,16.2
2025-02-10,Namadgi NP ACT,Blue Ant Wasp,28,22.3,16.2
2025-02-10,Namadgi NP ACT,Alpine Jewel Beetle,16,22.3,16.2
2025-02-10,Namadgi NP ACT,Crimson Cicada,100,22.3,16.2
2025-02-11,Namadgi NP ACT,Bogong Moth,145,23.8,13.5
2025-02-11,Namadgi NP ACT,Golden Stag Beetle,25,23.8,13.5
2025-02-11,Namadgi NP ACT,Mountain Grasshopper,47,23.8,13.5
2025-02-11,Namadgi NP ACT,Blue Ant Wasp,26,23.8,13.5
2025-02-11,Namadgi NP ACT,Alpine Jewel Beetle,15,23.8,13.5
2025-02-11,Namadgi NP ACT,Crimson Cicada,105,23.8,13.5
2025-02-12,Namadgi NP ACT,Bogong Moth,155,24.5,11.8
2025-02-12,Namadgi NP ACT,Golden Stag Beetle,23,24.5,11.8
2025-02-12,Namadgi NP ACT,Mountain Grasshopper,45,24.5,11.8
2025-02-12,Namadgi NP ACT,Blue Ant Wasp,30,24.5,11.8
2025-02-12,Namadgi NP ACT,Alpine Jewel Beetle,19,24.5,11.8
2025-02-12,Namadgi NP ACT,Crimson Cicada,110,24.5,11.8
2025-02-13,Namadgi NP ACT,Bogong Moth,140,22.1,12.4
2025-02-13,Namadgi NP ACT,Golden Stag Beetle,18,22.1,12.4
2025-02-13,Namadgi NP ACT,Mountain Grasshopper,38,22.1,12.4
2025-02-13,Namadgi NP ACT,Blue Ant Wasp,25,22.1,12.4
2025-02-13,Namadgi NP ACT,Alpine Jewel Beetle,20,22.1,12.4
2025-02-13,Namadgi NP ACT,Crimson Cicada,115,22.1,12.4
2025-02-14,Namadgi NP ACT,Bogong Moth,130,21.8,13.1
2025-02-14,Namadgi NP ACT,Golden Stag Beetle,21,21.8,13.1
2025-02-14,Namadgi NP ACT,Mountain Grasshopper,36,21.8,13.1
2025-02-14,Namadgi NP ACT,Blue Ant Wasp,28,21.8,13.1
2025-02-14,Namadgi NP ACT,Alpine Jewel Beetle,22,21.8,13.1
2025-02-14,Namadgi NP ACT,Crimson Cicada,120,21.8,13.1
2025-02-15,Namadgi NP ACT,Bogong Moth,145,23.2,11.9
2025-02-15,Namadgi NP ACT,Golden Stag Beetle,19,23.2,11.9
2025-02-15,Namadgi NP ACT,Mountain Grasshopper,40,23.2,11.9
2025-02-15,Namadgi NP ACT,Blue Ant Wasp,32,23.2,11.9
2025-02-15,Namadgi NP ACT,Alpine Jewel Beetle,18,23.2,11.9
2025-02-15,Namadgi NP ACT,Crimson Cicada,125,23.2,11.9
2025-02-16,Namadgi NP ACT,Bogong Moth,160,24.8,10.5
2025-02-16,Namadgi NP ACT,Golden Stag Beetle,20,24.8,10.5
2025-02-16,Namadgi NP ACT,Mountain Grasshopper,43,24.8,10.5
2025-02-16,Namadgi NP ACT,Blue Ant Wasp,27,24.8,10.5
2025-02-16,Namadgi NP ACT,Alpine Jewel Beetle,19,24.8,10.5
2025-02-16,Namadgi NP ACT,Crimson Cicada,130,24.8,10.5
2025-02-17,Namadgi NP ACT,Bogong Moth,170,25.3,9.8
2025-02-17,Namadgi NP ACT,Golden Stag Beetle,24,25.3,9.8
2025-02-17,Namadgi NP ACT,Mountain Grasshopper,46,25.3,9.8
2025-02-17,Namadgi NP ACT,Blue Ant Wasp,28,25.3,9.8
2025-02-17,Namadgi NP ACT,Alpine Jewel Beetle,22,25.3,9.8
2025-02-17,Namadgi NP ACT,Crimson Cicada,135,25.3,9.8
2025-02-18,Namadgi NP ACT,Bogong Moth,155,23.9,11.2
2025-02-18,Namadgi NP ACT,Golden Stag Beetle,22,23.9,11.2
2025-02-18,Namadgi NP ACT,Mountain Grasshopper,48,23.9,11.2
2025-02-18,Namadgi NP ACT,Blue Ant Wasp,30,23.9,11.2
2025-02-18,Namadgi NP ACT,Alpine Jewel Beetle,20,23.9,11.2
2025-02-18,Namadgi NP ACT,Crimson Cicada,140,23.9,11.2
2025-02-19,Namadgi NP ACT,Bogong Moth,180,26.1,10.4
2025-02-19,Namadgi NP ACT,Golden Stag Beetle,26,26.1,10.4
2025-02-19,Namadgi NP ACT,Mountain Grasshopper,52,26.1,10.4
2025-02-19,Namadgi NP ACT,Blue Ant Wasp,34,26.1,10.4
2025-02-19,Namadgi NP ACT,Alpine Jewel Beetle,25,26.1,10.4
2025-02-19,Namadgi NP ACT,Crimson Cicada,145,26.1,10.4
2025-03-02,Namadgi NP ACT,Bogong Moth,115,20.8,16.4
2025-03-02,Namadgi NP ACT,Golden Stag Beetle,18,20.8,16.4
2025-03-02,Namadgi NP ACT,Mountain Grasshopper,45,20.8,16.4
2025-03-02,Namadgi NP ACT,Blue Ant Wasp,27,20.8,16.4
2025-03-02,Namadgi NP ACT,Alpine Jewel Beetle,17,20.8,16.4
2025-03-02,Namadgi NP ACT,Crimson Cicada,130,20.8,16.4
2025-03-09,Namadgi NP ACT,Bogong Moth,100,19.5,20.2
2025-03-09,Namadgi NP ACT,Golden Stag Beetle,16,19.5,20.2
2025-03-09,Namadgi NP ACT,Mountain Grasshopper,40,19.5,20.2
2025-03-09,Namadgi NP ACT,Blue Ant Wasp,24,19.5,20.2
2025-03-09,Namadgi NP ACT,Alpine Jewel Beetle,15,19.5,20.2
2025-03-09,Namadgi NP ACT,Crimson Cicada,118,19.5,20.2
2025-03-16,Namadgi NP ACT,Bogong Moth,85,18.2,18.8
2025-03-16,Namadgi NP ACT,Golden Stag Beetle,14,18.2,18.8
2025-03-16,Namadgi NP ACT,Mountain Grasshopper,34,18.2,18.8
2025-03-16,Namadgi NP ACT,Blue Ant Wasp,21,18.2,18.8
2025-03-16,Namadgi NP ACT,Alpine Jewel Beetle,13,18.2,18.8
2025-03-16,Namadgi NP ACT,Crimson Cicada,105,18.2,18.8
2025-03-23,Namadgi NP ACT,Bogong Moth,68,16.8,22.5
2025-03-23,Namadgi NP ACT,Golden Stag Beetle,11,16.8,22.5
2025-03-23,Namadgi NP ACT,Mountain Grasshopper,27,16.8,22.5
2025-03-23,Namadgi NP ACT,Blue Ant Wasp,17,16.8,22.5
2025-03-23,Namadgi NP ACT,Alpine Jewel Beetle,10,16.8,22.5
2025-03-23,Namadgi NP ACT,Crimson Cicada,88,16.8,22.5
2025-03-30,Namadgi NP ACT,Bogong Moth,50,15.4,25.1
2025-03-30,Namadgi NP ACT,Golden Stag Beetle,9,15.4,25.1
2025-03-30,Namadgi NP ACT,Mountain Grasshopper,20,15.4,25.1
2025-03-30,Namadgi NP ACT,Blue Ant Wasp,13,15.4,25.1
2025-03-30,Namadgi NP ACT,Alpine Jewel Beetle,8,15.4,25.1
2025-03-30,Namadgi NP ACT,Crimson Cicada,70,15.4,25.1
2025-04-06,Namadgi NP ACT,Bogong Moth,35,13.8,24.8
2025-04-06,Namadgi NP ACT,Golden Stag Beetle,7,13.8,24.8
2025-04-06,Namadgi NP ACT,Mountain Grasshopper,14,13.8,24.8
2025-04-06,Namadgi NP ACT,Blue Ant Wasp,10,13.8,24.8
2025-04-06,Namadgi NP ACT,Alpine Jewel Beetle,6,13.8,24.8
2025-04-06,Namadgi NP ACT,Crimson Cicada,52,13.8,24.8
2025-04-13,Namadgi NP ACT,Bogong Moth,22,12.5,28.3
2025-04-13,Namadgi NP ACT,Golden Stag Beetle,5,12.5,28.3
2025-04-13,Namadgi NP ACT,Mountain Grasshopper,9,12.5,28.3
2025-04-13,Namadgi NP ACT,Blue Ant Wasp,7,12.5,28.3
2025-04-13,Namadgi NP ACT,Alpine Jewel Beetle,4,12.5,28.3
2025-04-13,Namadgi NP ACT,Crimson Cicada,36,12.5,28.3
2025-04-20,Namadgi NP ACT,Bogong Moth,12,11.2,22.5
2025-04-20,Namadgi NP ACT,Golden Stag Beetle,3,11.2,22.5
2025-04-20,Namadgi NP ACT,Mountain Grasshopper,5,11.2,22.5
2025-04-20,Namadgi NP ACT,Blue Ant Wasp,4,11.2,22.5
2025-04-20,Namadgi NP ACT,Alpine Jewel Beetle,2,11.2,22.5
2025-04-20,Namadgi NP ACT,Crimson Cicada,22,11.2,22.5
2025-04-27,Namadgi NP ACT,Bogong Moth,6,10.0,19.4
2025-04-27,Namadgi NP ACT,Golden Stag Beetle,2,10.0,19.4
2025-04-27,Namadgi NP ACT,Mountain Grasshopper,3,10.0,19.4
2025-04-27,Namadgi NP ACT,Blue Ant Wasp,2,10.0,19.4
2025-04-27,Namadgi NP ACT,Alpine Jewel Beetle,1,10.0,19.4
2025-04-27,Namadgi NP ACT,Crimson Cicada,12,10.0,19.4
